Type,Id,Token
morpheme,13#00:00#0,ゆる言語学ラジオ
morpheme,13#00:03#0,はい、本日はゆる言語学ラジオの雑談会
morpheme,13#00:07#0,割と長めの尺でね、編集控えめで
morpheme,13#00:11#0,ゆるめに喋っていこうかなと思います
morpheme,13#00:13#0,ゆる言語学ラジオと言いつつあんまりゆるくない
morpheme,13#00:16#0,結構頭使う回ありますからね
morpheme,13#00:18#0,そうなんですよね、ごめんなさいね
morpheme,13#00:20#0,僕がちょっとうまく説明できなくなって
morpheme,13#00:22#0,あと情報量特盛にしちゃうこともあって
morpheme,13#00:25#0,くせぇですね
morpheme,13#00:25#0,そうそうそう、やっちゃうんですけど
morpheme,13#00:27#0,頑張ってね、ゆるく喋れるように頑張ってるんで
morpheme,13#00:31#0,ちょっと見守っていただければ嬉しいです
morpheme,13#00:33#0,でも結果もみんな勉強になって多分いいと思います
morpheme,13#00:35#0,なら良かったです
morpheme,13#00:37#0,なんかちなみにこのマイクとかこれは何ですか?
morpheme,13#00:40#0,すごいでしょ今回、急に
morpheme,13#00:42#0,なんかね、自分がタレントになってきてるんですけど
morpheme,13#00:46#0,いやそうなんですよ、あのね
morpheme,13#00:47#0,この、これ今聞いてくださってる方は
morpheme,13#00:50#0,何で聞いてるかわかんないですけど
morpheme,13#00:51#0,YouTubeの動画見てくださってる方もいるでしょうし
morpheme,13#00:54#0,音声だけ聞いてる方もいると思うんですけど
morpheme,13#00:56#0,ポッドキャストでね、音声配信もしておりまして
morpheme,13#01:01#0,もうガーファ全てで聞けます
morpheme,13#01:05#0,本当に?
morpheme,13#01:06#0,ちょっとあれかな
morpheme,13#01:06#0,Amazonとかないでしょ?
morpheme,13#01:07#0,Amazonはあるんですよ
morpheme,13#01:08#0,Amazonも今Amazon Music内に
morpheme,13#01:10#0,Amazonポッドキャストってのがあって
morpheme,13#01:12#0,あげ足取りたいけど
morpheme,13#01:13#0,Facebookがないですね
morpheme,13#01:14#0,Facebookがない?
morpheme,13#01:15#0,FacebookがないけどGoogle、Appleは出てるし
morpheme,13#01:17#0,Amazonでも聞ける
morpheme,13#01:18#0,巨大プラットフォーマーで聞ける
morpheme,13#01:20#0,そうそう、Spotifyとかでも聞けるということで
morpheme,13#01:22#0,ポッドキャスト配信しててですね
morpheme,13#01:25#0,僕、ここ半年ぐらいもう音声コンテンツどはまりマンなんですよ
morpheme,13#01:31#0,50コンテンツぐらい聞きました
morpheme,13#01:34#0,とかをやってると
morpheme,13#01:36#0,音悪いポッドキャストが許せなくて
morpheme,13#01:40#0,音いいやつ作りたいなーと思った結果ですね
morpheme,13#01:43#0,このゆる言語学ラジオもですね
morpheme,13#01:45#0,なんか音イマイチだなーって
morpheme,13#01:47#0,思ったことないけどな
morpheme,13#01:49#0,いやイマイチなんですよ
morpheme,13#01:51#0,音響オタク的にはもう
morpheme,13#01:52#0,リスナーさんの中に何人いるんだろうな
morpheme,13#01:54#0,不満を抱えた人が
morpheme,13#01:57#0,でもみんなの潜在意識には多分あると思う
morpheme,13#02:00#0,完璧な音のやつ
morpheme,13#02:02#0,それこそコテンラジオっていうね
morpheme,13#02:04#0,歴史喋るラジオとかありますけど
morpheme,13#02:06#0,我々が目標にしてるやつ
morpheme,13#02:07#0,そう、あれめっちゃいいなーと思って
morpheme,13#02:09#0,これ始めたっていう経緯がありますけど
morpheme,13#02:11#0,あれなんかの音の完璧さに比べると相当悪いんですよね
morpheme,13#02:15#0,前回とかは
