Type    ,Id            ,Token                                                                                                                                                                                                                                                          ,Speaker
Morpheme,167#00:00:00#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:00:30#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:01:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:01:06#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:01:11#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:01:16#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:01:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:02:14#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:02:19#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:02:37#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:03:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:03:17#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:03:30#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:03:55#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:04:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:04:20#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:04:30#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:04:40#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:05:00#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:05:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:05:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:06:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:06:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:06:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:07:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:07:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:07:42#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:07:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:08:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:08:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:08:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:09:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:09:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:09:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:10:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:10:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
