オリモトさん

はい エレベーターは一気と数えてましたよね

紹介の時に だから木って地面にくっついてて

るものだっていうことですよね 基地の木ですもんね

あ基地の木ですねはい 机はなんで一気って数えないんですか

いや机は木じゃないもんだって なんでなんで

だってもう 外国人納得できないですよ

だってほら机は動かせるじゃない ですか

持ち上げれば エレベーター持ち上げても動かせない

じゃないですか だからじゃない

本質つきましたね 当てちゃうパターン

ついに正解しましたね この最初のクイズ答えられない

の恒例になってましたけど 当てちゃうパターン出したんだ

おー素晴らしい やった

今までゆる言語アクラジオで 前回冒頭にオリモトさんに難問

をふっかけてましたけど ついに当たっちゃいましたね

うんだからなんか 僕もびっくりしましたよね

当たるパターンあるんだ ちょっと僕も想定してなかったん

ですけど そうおっしゃるように木は

人間一人の手で押しても動かしがたい 杖を置かれたものみたいな本質

を持ってるみたいですね だからその机とかは木と呼ばない

みたいですね なるほどそういうことなんだ

ということで今回は助数詞 ずっとやってるテーマの3回目

ですね はい

僕は超楽しいんですよね リスナーがついてきてるかどうか

はともかしらして 間違いないですねそこですね

ずっと助数詞ずはいが始まってるん で僕は楽しいです

今もう助数詞ずはいが始まって 1時間経ちましたね

もうずっとはいですね 今回はまずなぜその数え刀のコーナー

に行きましょうか 僕らが当たり前のように数えてる

ものどうしてそれを数えるんだっけ っていうのをちょっと掘り返して

いきたいと思います ではまず最初に豆腐はなぜ1兆

と数えるんですか これ当てちゃうかもしれません

また 結構今有力な仮説あります

はいお願いします 何兆目の兆じゃないですか

あれ区画を表してるじゃないですか 豆腐も四角いじゃないですか

だから四角なんじゃないですか 本質は

あー惜しいな 違うのかかなり合ってる自信あった

んだけど 正解は腸反爆地の腸

え近くなさそう 遠そう

いや最終的に近づいていくんですけど 要は腸反爆地の腸というのは偶数

を指していたと腸というのは 反が奇数だと

豆腐というのは最初に複数回に 切り分けて売るとそこで豆腐を

4分割したもの つまり2回カットした蝶回ですね

カットしてその一切れを蝶と呼んで いた

じゃあ1兆の4倍が元々は豆腐の1サイズ だった

だから元々2個で1兆 あごめんなさいだから4分割した

後のその2個を1兆と数えてたのかな 大きさとしては

だからなんかねちょっとね俺も 豆腐あんま買わないからわかんない

んですけど 豆腐1バックは本来なら半兆らしいん

ですよ すごいパニックですけど数量が

いっぱいあるんですかね だから豆腐があってそれをとり

