ゆる言語学ラジオ

はいということでゆる言語学ラジオ 今回はソシュールの3回目ですかね

最終回ですね

おほいいですね

今までソシュールの第1回では 言語学が研究しなきゃいけない

のはね 乱句の教示体しかないということ

を言い そして次に言語記号の c 性と線上

性っていう行理からいろんな言語 の特性が導き出せるよっていう

話を第2回でしてきましたけど 最後ですねソシュールが本当に

言いたかったことみたいなこと とかソシュールが言ったことから

勝手に僕が妄想したこととかを お話ししていけたらと思います

ありがとうございます楽しみです

じゃあ最後ですけどソシュール のすごいポイント3からまずいきます

ね これが意味そして音素は体系をな

しているというような指摘

最初からいきなりさっぱりわから なかった

おさらいしておきますと音素っていう のは第2回で説明したと思います

が 各個別言語ごとの音のグループ

分けみたいなものですね 英語ではラもLとRという音素になってる

けど 日本語ではラは一つの音素

そうですね RとLの区別ないのが日本語の音素

です マジでしたね

その意味と音素この2つが体系をな しているということだったんですけど

体系ってのはなんじゃいと わからないぞということなので

ちょっとここで例えを出してみます 25メートルプールがあってそこの

縦にも横にも1メートル間隔で 浮きを置いていくと

その浮きを縦横で紐で繋いだ状態 を想像してもらえますか

だからプールには必ず浮きの紐 によって囲まれた空間が

縦横に渡してるんですか 縦横に一ずつ

西方形がいっぱいできてるイメージ 1メートル四方の西方形がたくさん

できてるイメージ 今のこのプールの中の1メートル

で囲まれてるそれぞれが単語の 意味だというふうに思ってちょっと

もらえますか 想像しにくいな

例えばなんですけどこの25メートル プールっていうのが動物を指してる

とします そしたらこの1個目のやつが犬で

これが次狼でみたいなイメージ をしてもらえるといいと思うん

ですけど これって隙間なくみっちり敷き詰め

られてるんで意味の隙間はない 状態なんです

例えばなんですけどだから見た ことない動物がここに登場したと

するじゃないですか そしたらそれは今までにあるグループ

の中のどこかしらにも入ると それによって浮きが移動していく

イメージをしてもらえるといい と思うんですけど

あんまわかってないけど 難しいな

だからこのプールの浮きが占めている この1メートル四方の枠っていう

のの範囲っていうのは他のもの の場所によってしか決まらない

