Type,Id,Token,Speaker
Morpheme,176#00:00:00#0,【ピカチュウ】,
Morpheme,176#00:00:06#0,白鳥座とはピカチュウである,
Morpheme,176#00:00:09#0,はぁ,
Morpheme,176#00:00:10#0,【笑い】,
Morpheme,176#00:00:11#0,【ピカチュウ】,
Morpheme,176#00:00:12#0,ナツキさんよろしくお願いします,
Morpheme,176#00:00:14#0,はい、お願いします,
Morpheme,176#00:00:15#0,はい、というわけでね、本日からゆる天文学ラジオ始めていきたいなと思うんですけれども,
Morpheme,176#00:00:20#0,はい,
Morpheme,176#00:00:21#0,まずは皆さん、ゆる学徒ハウス長丁場ご視聴いただきありがとうございました,
Morpheme,176#00:00:25#0,本当にありがとうございました,
Morpheme,176#00:00:26#0,このチャンネルから見てくれてるっていう方ももちろんいらっしゃると思うんですけれども,
Morpheme,176#00:00:30#0,ここから先はね、しっかり天文学のお話をしていきたいなと思いますので,
Morpheme,176#00:00:34#0,興味ある方ぜひお付き合いいただければと思います,
Morpheme,176#00:00:37#0,さて,
Morpheme,176#00:00:38#0,はい,
Morpheme,176#00:00:39#0,冒頭でお話ししました,
Morpheme,176#00:00:41#0,はい、意味がわからないこと,
Morpheme,176#00:00:43#0,はい,
Morpheme,176#00:00:44#0,白鳥座ってピカチュウなんすよね,
Morpheme,176#00:00:47#0,いや、絶対違うでしょ,
Morpheme,176#00:00:48#0,白鳥座は白鳥座なんで,
Morpheme,176#00:00:50#0,そうっすか,
Morpheme,176#00:00:51#0,昔から,
Morpheme,176#00:00:52#0,白鳥ってご存知ですか?,
Morpheme,176#00:00:53#0,白鳥は知ってますよ、ビジュアルとしては,
Morpheme,176#00:00:55#0,そうですね、白い鳥ですね,
Morpheme,176#00:00:57#0,はい、英語でスワンと呼ばれる白鳥ですね,
Morpheme,176#00:00:59#0,ピカチュウってご存知ですか?,
Morpheme,176#00:01:01#0,そうね、知ってるわ,
Morpheme,176#00:01:02#0,知ってますよね,
Morpheme,176#00:01:03#0,なんか電気を走らせる子,
Morpheme,176#00:01:05#0,そうですね,
Morpheme,176#00:01:06#0,ピンクじゃねえや,
Morpheme,176#00:01:07#0,はい、英語でもねピカチュウと呼ばれるんですけど,
Morpheme,176#00:01:09#0,あ、そうなのね,
Morpheme,176#00:01:10#0,そう、ピカチュウって実は英語でもピカチュウなんですよ,
Morpheme,176#00:01:12#0,あ、そうなの,
Morpheme,176#00:01:13#0,はい、という小話は置いといて,
Morpheme,176#00:01:15#0,今日は白鳥座はピカチュウであるという話を納得していただくところがゴールになりますので,
Morpheme,176#00:01:21#0,あ、そうなんですね,
Morpheme,176#00:01:22#0,はい、よろしくお願いします,
Morpheme,176#00:01:24#0,くちばしの色と共通だからかな,
Morpheme,176#00:01:26#0,くちばしの色、白鳥ってくちばしの色黄色でしたっけ?,
Morpheme,176#00:01:29#0,黄色と黒な気がする,
