Type,Id,Token,Speaker
Morpheme,187#00:00:03#0,あ、ちょっとオープニング間違えたんで,
Morpheme,187#00:00:06#0,なになに?,
Morpheme,187#00:00:07#0,やり直していいですか?,
Morpheme,187#00:00:08#0,いやいやいや間違えるもん何も,
Morpheme,187#00:00:10#0,いやオープニング間違えたんでやり直します,
Morpheme,187#00:00:12#0,はい,
Morpheme,187#00:00:13#0,ゆるコンピューター科学ラジオ,
Morpheme,187#00:00:16#0,ということで今回はゆるコンピューター科学ラジオです,
Morpheme,187#00:00:21#0,え、乗っ取られた?,
Morpheme,187#00:00:22#0,そう、ジャックしに来ましたチャンネルを,
Morpheme,187#00:00:24#0,ちょっともうダメだ言語学は,
Morpheme,187#00:00:28#0,コンピューター科学でジャックしたいなという欲求があったので,
Morpheme,187#00:00:31#0,結構ね、言語の話をしてる時に,
Morpheme,187#00:00:34#0,コンピューター科学の知識使って例えがちだったり,
Morpheme,187#00:00:37#0,そうそう,
Morpheme,187#00:00:42#0,議論が整理されるかもしれないですもんね,
Morpheme,187#00:00:43#0,まさにそういうことで,
Morpheme,187#00:00:45#0,あの前何かの回で,
Morpheme,187#00:00:47#0,プログラミング言語は言語じゃないですからねみたいなことを,
Morpheme,187#00:00:50#0,みずのさんが言って,
Morpheme,187#00:00:51#0,え、そんなことないでしょみたいな,
Morpheme,187#00:00:53#0,僕が言って,
Morpheme,187#00:00:54#0,ただみずのさんがプログラミング言語の知識がなさすぎて,
Morpheme,187#00:00:58#0,建設的な議論に全くならなそうだったんですよね,
Morpheme,187#00:01:02#0,はい,
Morpheme,187#00:01:03#0,で、コメント欄でも,
Morpheme,187#00:01:05#0,その話聞きたかったっていう話が結構ありまして,
Morpheme,187#00:01:08#0,だったらやったろうと,
Morpheme,187#00:01:10#0,おー,
Morpheme,187#00:01:13#0,はい,
Morpheme,187#00:01:14#0,プログラミング言語とは何かをみずのさんに理解してもらう,
Morpheme,187#00:01:18#0,おー,
Morpheme,187#00:01:19#0,という回に,
Morpheme,187#00:01:20#0,楽しみですね,
Morpheme,187#00:01:21#0,あのーなんかリスナーさん妙にコンピューター言語に詳しそうな人ばっかりコメントにいるけど,
Morpheme,187#00:01:26#0,うん,
Morpheme,187#00:01:30#0,ま、と思いますね,
Morpheme,187#00:01:31#0,ただ一個断っておきたいのはですね,
Morpheme,187#00:01:33#0,はい,
Morpheme,187#00:01:37#0,はい,
Morpheme,187#00:01:40#0,うんうん,
Morpheme,187#00:01:42#0,まじで何も知らないじゃないですか,
Morpheme,187#00:01:43#0,はい,
Morpheme,187#00:01:44#0,ソースコードって言ってましたよね,
Morpheme,187#00:01:46#0,言ってましたね,
Morpheme,187#00:01:47#0,いやわかんないですソースコード,
Morpheme,187#00:01:49#0,そのレベルの人はね多分階2割とか,
Morpheme,187#00:01:53#0,3割とかだと思う,
Morpheme,187#00:01:55#0,え、俺,
Morpheme,187#00:01:58#0,そう,
Morpheme,187#00:01:59#0,パレートの法則で言う階の働かない,
Morpheme,187#00:02:01#0,働かないやつ,
Morpheme,187#00:02:02#0,まじで,
Morpheme,187#00:02:03#0,実験で取り除かれるタイプのアリ,
Morpheme,187#00:02:05#0,僕今でも聞いてくれてる自分の友達で,
Morpheme,187#00:02:09#0,ソースコードわかってる人一人もいないと思ってた,
Morpheme,187#00:02:11#0,じゃあちょっと僕の見積もりがおかしいかもしれないですけど,
Morpheme,187#00:02:15#0,僕はそうなんじゃないかなと思ってまして,
Morpheme,187#00:02:18#0,だってあれでしょ,
Morpheme,187#00:02:19#0,ウェブサイトとか全く作ったことないし,
Morpheme,187#00:02:22#0,HTMLって何?,
Morpheme,187#00:02:24#0,あれねHTMLね,
Morpheme,187#00:02:26#0,よくわかんないよねあれで,
Morpheme,187#00:02:27#0,HTMLでくれとか言われても,
Morpheme,187#00:02:29#0,いや知らねーよ,
Morpheme,187#00:02:30#0,何それっていう状態なわけですね,
Morpheme,187#00:02:31#0,リンク送ればいいだろって感じですね,
Morpheme,187#00:02:34#0,まあという状態から脱するための,
Morpheme,187#00:02:37#0,構造をちょっとやりたいなと思いまして,
Morpheme,187#00:02:39#0,あのーおりもとさん僕に優しく教えてくれる時も,
Morpheme,187#00:02:42#0,わかんない単語使って教えてくること多いんで,
Morpheme,187#00:02:44#0,先に注意しておきますね,
Morpheme,187#00:02:46#0,ソースコードですよこれとか言われてもわかんないから,
Morpheme,187#00:02:48#0,は?ってなるからね,
Morpheme,187#00:02:49#0,頼んますよほんと,
Morpheme,187#00:02:50#0,その度止めていただければ,
Morpheme,187#00:02:51#0,わかりました,
Morpheme,187#00:02:52#0,一応舌打ちしながら教えます,
Morpheme,187#00:02:53#0,はははは,
Morpheme,187#00:02:55#0,嫌な共感だな,
Morpheme,187#00:02:59#0,とりあえず初回の目標なんですけど,
Morpheme,187#00:03:01#0,はい,
Morpheme,187#00:03:04#0,パソコンとかスマホの中身,
Morpheme,187#00:03:07#0,魔法だと思いがち,
Morpheme,187#00:03:09#0,はははは,
Morpheme,187#00:03:11#0,確かにね,
Morpheme,187#00:03:14#0,おかしいもんね,
Morpheme,187#00:03:15#0,このサイズにあんな機能がたくさん搭載されること,
Morpheme,187#00:03:18#0,やばいじゃないですか,
Morpheme,187#00:03:19#0,僕でも一つだけ知識ありますよ,
Morpheme,187#00:03:20#0,なんすか?,
Morpheme,187#00:03:21#0,どうやら半導体ってのがすごいらしい,
Morpheme,187#00:03:23#0,そうなんですよ,
Morpheme,187#00:03:24#0,おっしゃる通りで,
Morpheme,187#00:03:25#0,半導体が何十億個とかもっとだわ,
Morpheme,187#00:03:28#0,何兆個とか詰まってる,
Morpheme,187#00:03:29#0,はいはい,
Morpheme,187#00:03:30#0,おかげでああいうことができてる,
Morpheme,187#00:03:31#0,なんか四季報読んでる時に,
Morpheme,187#00:03:34#0,うん,
Morpheme,187#00:03:35#0,あーそれ素晴らしい,
Morpheme,187#00:03:36#0,会社四季報とか業界地図読んでる時に,
Morpheme,187#00:03:38#0,素晴らしい,
Morpheme,187#00:03:40#0,いや半導体はねすごいよ,
Morpheme,187#00:03:41#0,えでも導体と半導体と絶縁体のうちの半導体でしょ,
Morpheme,187#00:03:45#0,そうそうそう,
Morpheme,187#00:03:47#0,いやだってシリコンバレーのシリコンって半導体ですからね,
Morpheme,187#00:03:51#0,全てが半導体,
Morpheme,187#00:03:52#0,もう本当にそうなんですけど,
Morpheme,187#00:03:53#0,コンピューターって本質を取り出して分解していくと,
Morpheme,187#00:03:55#0,半導体でしかないですよ,
Morpheme,187#00:03:57#0,そうなんだ,
Morpheme,187#00:03:58#0,結局,
Morpheme,187#00:03:59#0,半導体の組み合わせなんですよ,
Morpheme,187#00:04:01#0,はぁはぁはぁはぁ,
Morpheme,187#00:04:02#0,僕は大学でコンピューターサイエンスをやったので,
Morpheme,187#00:04:05#0,うん,
Morpheme,187#00:04:08#0,なんとなくのイメージはあるんです,
Morpheme,187#00:04:09#0,なんとなくじゃないな,
Morpheme,187#00:04:10#0,正しいイメージがあるんですよ,
Morpheme,187#00:04:12#0,はい,
Morpheme,187#00:04:13#0,こういういろんな奇跡のようなことができるんだなって,
Morpheme,187#00:04:16#0,へーじゃあコンピューターの中身なんとなく想像行ってるってことですか?,
Morpheme,187#00:04:19#0,想像行ってるところか,
Morpheme,187#00:04:20#0,僕はこれね,
Morpheme,187#00:04:21#0,無人島で僕コンピューター作れますよ,
Morpheme,187#00:04:23#0,へー,
Morpheme,187#00:04:24#0,すげー,
Morpheme,187#00:04:25#0,ただちょっと化け学知識が足りないので,
Morpheme,187#00:04:27#0,半導体が作れなくてつまずく可能性は,
Morpheme,187#00:04:28#0,半導体一人じゃ作れなくなります,
Morpheme,187#00:04:31#0,半導体メーカーがめっちゃ頑張って作ってるものでしょ,
Morpheme,187#00:04:33#0,いや半導体も結局軽素の組み合わせで,
Morpheme,187#00:04:36#0,なんか蘇生を考えれば多分できるはずなんで,
Morpheme,187#00:04:39#0,化け学知識あって半導体作れるやつと,
Morpheme,187#00:04:42#0,僕がいればコンピューターがゼロから作れる,
Morpheme,187#00:04:44#0,じゃあドクターストーンみたいなことできるんだ,
Morpheme,187#00:04:46#0,できるできる,
