Id,Title,ThumbnailUrl,VideoUrl,PublicationDate,Channel
187,脳にUSBを挿したらYouTube再生できる？【ゆるコンピュータ科学ラジオ1】#63,https://i.ytimg.com/vi/dkP8Uf7PveE/sddefault.jpg,https://www.youtube.com/watch?v=dkP8Uf7PveE,2021-10-12,ゆるコンピュータ科学ラジオ
188,プログラマーと辞書オタク、実質同じ【ゆるコンピュータ科学ラジオ2】#64,https://i.ytimg.com/vi/uDCTXGCk2Zk/sddefault.jpg,https://www.youtube.com/watch?v=uDCTXGCk2Zk,2021-10-15,ゆるコンピュータ科学ラジオ
189,プログラミング言語には思想が宿る。だから戦争が起きる。【ゆるコンピュータ科学ラジオ3】#65,https://i.ytimg.com/vi/qNHfKNjX8Us/sddefault.jpg,https://www.youtube.com/watch?v=qNHfKNjX8Us,2021-10-19,ゆるコンピュータ科学ラジオ
190,【徹底討論】プログラミング言語は言語なの？【ゆるコンピュータ科学ラジオ4】#66,https://i.ytimg.com/vi/ru1ZVmytMoo/sddefault.jpg,https://www.youtube.com/watch?v=ru1ZVmytMoo,2021-10-22,ゆるコンピュータ科学ラジオ
191,コンピュータ科学をやるのに、コンピュータは不要【アルゴリズム1】#1,https://i.ytimg.com/vi/UZ2P2dDqZmY/sddefault.jpg,https://www.youtube.com/watch?v=UZ2P2dDqZmY,2021-12-31,ゆるコンピュータ科学ラジオ
192,あなたのマンガ並び替え方法はダサい。オーダーがダサい【アルゴリズム2】#2,https://i.ytimg.com/vi/Bd6stNhWfdg/sddefault.jpg,https://www.youtube.com/watch?v=Bd6stNhWfdg,2022-01-08,ゆるコンピュータ科学ラジオ
193,デカルトみを感じたいなら、コンピュータ科学をやれ！【アルゴリズム3】#3,https://i.ytimg.com/vi/5RZK9D_EU4U/sddefault.jpg,https://www.youtube.com/watch?v=5RZK9D_EU4U,2022-01-15,ゆるコンピュータ科学ラジオ
194,エンジニアあるある「友だちのサイトをとりあえず攻撃する」【雑談回1】#4,https://i.ytimg.com/vi/0ykzv_rKHiA/sddefault.jpg,https://www.youtube.com/watch?v=0ykzv_rKHiA,2022-01-22,ゆるコンピュータ科学ラジオ
195,ソフトウェア開発ジョーク「90対90の法則」とは？【サイト製作物語1】#5,https://i.ytimg.com/vi/AxoXLspmqi8/sddefault.jpg,https://www.youtube.com/watch?v=AxoXLspmqi8,2022-01-29,ゆるコンピュータ科学ラジオ
196,神は天地の後に納期を作った（エンジニア創世記1章3節）【サイト製作物語2】#6,https://i.ytimg.com/vi/bgex5WbNZQA/sddefault.jpg,https://www.youtube.com/watch?v=bgex5WbNZQA,2022-02-05,ゆるコンピュータ科学ラジオ
197,リリース当日のエンジニアはウォーターボーイズ【サイト製作物語3】#7,https://i.ytimg.com/vi/NZufqb1NCl8/sddefault.jpg,https://www.youtube.com/watch?v=NZufqb1NCl8,2022-02-12,ゆるコンピュータ科学ラジオ
198,【あなたはどの学科？】哲学エアプから抜け出してみたい【雑談回】#8,https://i.ytimg.com/vi/dhvwHD_dg-4/sddefault.jpg,https://www.youtube.com/watch?v=dhvwHD_dg-4,2022-02-19,ゆるコンピュータ科学ラジオ
199,"「晩ごはんはカレー」を極限まで短くすると、""沈黙""になる【情報理論1】#9",https://i.ytimg.com/vi/8QwpuPfrU2A/sddefault.jpg,https://www.youtube.com/watch?v=8QwpuPfrU2A,2022-02-26,ゆるコンピュータ科学ラジオ
200,人が天気予報を見る理由は「エントロピー」で説明できる【情報理論2】#10,https://i.ytimg.com/vi/KSC50jC_WlI/sddefault.jpg,https://www.youtube.com/watch?v=KSC50jC_WlI,2022-03-05,ゆるコンピュータ科学ラジオ
201,友だちと親しくなる=情報量の期待値が減る【情報理論3】#11,https://i.ytimg.com/vi/T8VziGkB70g/sddefault.jpg,https://www.youtube.com/watch?v=T8VziGkB70g,2022-03-12,ゆるコンピュータ科学ラジオ
202,「サクラサク」はシャノン先生ブチギレ符号化。脳はスマホに繋ぐべき【情報理論4】#12,https://i.ytimg.com/vi/YSnieUyGRS8/sddefault.jpg,https://www.youtube.com/watch?v=YSnieUyGRS8,2022-03-19,ゆるコンピュータ科学ラジオ
203,キクコとオーキドの鮮やかすぎる対比。あるいは、道を違えた2人の憧憬について【雑談回】#13,https://i.ytimg.com/vi/UOIJPhaswOc/sddefault.jpg,https://www.youtube.com/watch?v=UOIJPhaswOc,2022-03-26,ゆるコンピュータ科学ラジオ
204,【神の声を聞くソフト】おしゃれコンピュータ用語ミュージアム #14,https://i.ytimg.com/vi/GwONM6dveO0/sddefault.jpg,https://www.youtube.com/watch?v=GwONM6dveO0,2022-04-02,ゆるコンピュータ科学ラジオ
205,おじさんとおじいさん、母語話者でも聞き分けられない【雑談回】#15,https://i.ytimg.com/vi/DDteDNGI1BM/sddefault.jpg,https://www.youtube.com/watch?v=DDteDNGI1BM,2022-04-09,ゆるコンピュータ科学ラジオ
