Type,Id,Token,Speaker
Morpheme,244#00:00:00#0,うんちくしりとりパンクラチオン,
Morpheme,244#00:00:02#0,よっ,
Morpheme,244#00:00:04#0,何ですかこれは,
Morpheme,244#00:00:06#0,うんちくしりとりパンクラチオンという競技を今日はね,
Morpheme,244#00:00:08#0,やろうかなと思います,
Morpheme,244#00:00:10#0,何ですかどういうルールなんですか,
Morpheme,244#00:00:12#0,僕とみずのさんが,
Morpheme,244#00:00:14#0,お互いにうんちくを言い合っていき,
Morpheme,244#00:00:16#0,僕が例えば,
Morpheme,244#00:00:18#0,クリスマスツリーの一番上の星は,
Morpheme,244#00:00:20#0,ベツレヘムの星という名前があります,
Morpheme,244#00:00:22#0,って言ったらみずのさんがそれを受けて,
Morpheme,244#00:00:24#0,うんちくしりとりパンクラチオンを,
Morpheme,244#00:00:26#0,言い合っていき,
Morpheme,244#00:00:28#0,って言ったらみずのさんがそれを受けて,
Morpheme,244#00:00:30#0,クリスマスツリーベツレヘム,
Morpheme,244#00:00:32#0,星あたりからまた新しい,
Morpheme,244#00:00:34#0,うんちくを言うと,
Morpheme,244#00:00:36#0,みたいなことを繰り返していく,
Morpheme,244#00:00:38#0,お互いのうんちくの一部を取り合って,
Morpheme,244#00:00:40#0,うんちくを次に繋げていくという競技,
Morpheme,244#00:00:42#0,そこがしりとりたるゆえんだと,
Morpheme,244#00:00:44#0,なるほどなるほど面白そう,
Morpheme,244#00:00:46#0,しりじゃないですけどね,
Morpheme,244#00:00:48#0,部分取りですね,
Morpheme,244#00:00:50#0,そうですねわかりやすくねしりとりということで,
Morpheme,244#00:00:52#0,ということでね全然,
Morpheme,244#00:00:54#0,言語学でもなんでもないんですけど,
Morpheme,244#00:00:56#0,我々がね若手うんちくおじさん,
Morpheme,244#00:00:58#0,という,
Morpheme,244#00:01:00#0,若手うんちくおじさんの集いなんで,
Morpheme,244#00:01:02#0,そうですね,
Morpheme,244#00:01:04#0,みなさんにお見せしようかなと,
Morpheme,244#00:01:06#0,うんちくおじさんが,
Morpheme,244#00:01:08#0,好む回ですね,
Morpheme,244#00:01:10#0,うんちくに関心のない方はもう,
Morpheme,244#00:01:12#0,閉じていただいて,
Morpheme,244#00:01:16#0,じゃあいきますか早速,
Morpheme,244#00:01:18#0,何から始め,
Morpheme,244#00:01:20#0,オープニングうんちくは,
Morpheme,244#00:01:22#0,最初うんちく,
Morpheme,244#00:01:24#0,パンクラチオンなんで,
Morpheme,244#00:01:26#0,パンクラチオンっぽい,
Morpheme,244#00:01:28#0,格闘技っぽい,
Morpheme,244#00:01:30#0,うんちくをいこうかなと思うんですけど,
Morpheme,244#00:01:32#0,世界最強の,
Morpheme,244#00:01:34#0,都市格闘術,
Morpheme,244#00:01:36#0,と言われているのを,
