      ,Type    ,Id            ,Token
161   ,morpheme,75#00:07:31#0 ,学習した規則があって
2763  ,morpheme,128#00:07:11#0,学習用の文法書の中には
8516  ,morpheme,117#00:06:47#0,学習効率がね
38522 ,morpheme,79#00:45:06#0 ,学習なりでしかもなんかそうやって 考えいろんな研究見ていくと
41830 ,morpheme,87#02:03:38#0 ,学習してるんですよ
49188 ,morpheme,88#00:07:15#0 ,学習指導料で
71759 ,morpheme,81#00:13:29#0 ,学習でも習得がしやすかったって いうことを今言ってたんですよ
86155 ,morpheme,137#00:29:04#0,学習データの偏りが生んでしまった悲しい現象なんですよ。
86172 ,morpheme,137#00:30:19#0,学習データに対して最適化される出力を生み出すのが人工知能なんだけど、
92475 ,morpheme,139#00:34:50#0,学習していきましょう僕らも
92538 ,morpheme,139#00:36:56#0,学習したので
97078 ,morpheme,59#00:03:39#0 ,学習学学学学学学
97080 ,morpheme,59#00:03:43#0 ,学習学学学学学
97081 ,morpheme,59#00:03:45#0 ,学習学学学学学
97082 ,morpheme,59#00:03:47#0 ,学習学学学学
97083 ,morpheme,59#00:03:49#0 ,学習学学学学
97084 ,morpheme,59#00:03:51#0 ,学習学学学学
97085 ,morpheme,59#00:03:53#0 ,学習学学学
97086 ,morpheme,59#00:03:55#0 ,学習学学
97087 ,morpheme,59#00:03:57#0 ,学習学学
97088 ,morpheme,59#00:03:59#0 ,学習学学
97089 ,morpheme,59#00:04:01#0 ,学習学学
97090 ,morpheme,59#00:04:03#0 ,学習学
97091 ,morpheme,59#00:04:05#0 ,学習学
97092 ,morpheme,59#00:04:07#0 ,学習学
97093 ,morpheme,59#00:04:09#0 ,学習学
97094 ,morpheme,59#00:04:11#0 ,学習学
97095 ,morpheme,59#00:04:13#0 ,学習学
97096 ,morpheme,59#00:04:15#0 ,学習学
97097 ,morpheme,59#00:04:17#0 ,学習学
97098 ,morpheme,59#00:04:19#0 ,学習学
97099 ,morpheme,59#00:04:21#0 ,学習学
97100 ,morpheme,59#00:04:23#0 ,学習学
97101 ,morpheme,59#00:04:25#0 ,学習学
97102 ,morpheme,59#00:04:27#0 ,学習学
97103 ,morpheme,59#00:04:29#0 ,学習学
97104 ,morpheme,59#00:04:31#0 ,学習学
97105 ,morpheme,59#00:04:33#0 ,学習学
97106 ,morpheme,59#00:04:35#0 ,学習学
97107 ,morpheme,59#00:04:37#0 ,学習学
97108 ,morpheme,59#00:04:39#0 ,学習学
97109 ,morpheme,59#00:04:41#0 ,学習学
97110 ,morpheme,59#00:04:43#0 ,学習学
97111 ,morpheme,59#00:04:45#0 ,学習学
97112 ,morpheme,59#00:04:47#0 ,学習学
97113 ,morpheme,59#00:04:49#0 ,学習学
97114 ,morpheme,59#00:04:51#0 ,学習学
97115 ,morpheme,59#00:04:53#0 ,学習学
97116 ,morpheme,59#00:04:55#0 ,学習学
97117 ,morpheme,59#00:04:57#0 ,学習学
97118 ,morpheme,59#00:04:59#0 ,学習
97119 ,morpheme,59#00:05:01#0 ,学習
97120 ,morpheme,59#00:05:03#0 ,学習
97121 ,morpheme,59#00:05:05#0 ,学習
97122 ,morpheme,59#00:05:07#0 ,学習
97123 ,morpheme,59#00:05:09#0 ,学習
97124 ,morpheme,59#00:05:11#0 ,学習
97125 ,morpheme,59#00:05:13#0 ,学習
97126 ,morpheme,59#00:05:15#0 ,学習
97127 ,morpheme,59#00:05:17#0 ,学習
97128 ,morpheme,59#00:05:19#0 ,学習
97129 ,morpheme,59#00:05:21#0 ,学習
97130 ,morpheme,59#00:05:23#0 ,学習
97131 ,morpheme,59#00:05:25#0 ,学習
97132 ,morpheme,59#00:05:27#0 ,学習
97133 ,morpheme,59#00:05:29#0 ,学習
97134 ,morpheme,59#00:05:31#0 ,学習
97135 ,morpheme,59#00:05:33#0 ,学習
97136 ,morpheme,59#00:05:35#0 ,学習
97137 ,morpheme,59#00:05:37#0 ,学習
97138 ,morpheme,59#00:05:39#0 ,学習
97139 ,morpheme,59#00:05:41#0 ,学習
97140 ,morpheme,59#00:05:43#0 ,学習
97141 ,morpheme,59#00:05:45#0 ,学習
97142 ,morpheme,59#00:05:47#0 ,学習
97143 ,morpheme,59#00:05:49#0 ,学習
97144 ,morpheme,59#00:05:51#0 ,学習
97145 ,morpheme,59#00:05:53#0 ,学習
97146 ,morpheme,59#00:05:55#0 ,学習
97147 ,morpheme,59#00:05:57#0 ,学習
97148 ,morpheme,59#00:05:59#0 ,学習
97149 ,morpheme,59#00:06:01#0 ,学習
97150 ,morpheme,59#00:06:03#0 ,学習
97151 ,morpheme,59#00:06:05#0 ,学習
97152 ,morpheme,59#00:06:07#0 ,学習
97153 ,morpheme,59#00:06:09#0 ,学習
97154 ,morpheme,59#00:06:11#0 ,学習
97155 ,morpheme,59#00:06:13#0 ,学習
97156 ,morpheme,59#00:06:15#0 ,学習
97157 ,morpheme,59#00:06:17#0 ,学習
97158 ,morpheme,59#00:06:19#0 ,学習
97159 ,morpheme,59#00:06:21#0 ,学習
97160 ,morpheme,59#00:06:23#0 ,学習
97161 ,morpheme,59#00:06:25#0 ,学習
97162 ,morpheme,59#00:06:27#0 ,学習
97163 ,morpheme,59#00:06:29#0 ,学習
97164 ,morpheme,59#00:06:31#0 ,学習
97165 ,morpheme,59#00:06:33#0 ,学習
97166 ,morpheme,59#00:06:35#0 ,学習
97167 ,morpheme,59#00:06:37#0 ,学習
97168 ,morpheme,59#00:06:39#0 ,学習
97169 ,morpheme,59#00:06:41#0 ,学習
97170 ,morpheme,59#00:06:43#0 ,学習
97171 ,morpheme,59#00:06:45#0 ,学習
97172 ,morpheme,59#00:06:47#0 ,学習
97173 ,morpheme,59#00:06:49#0 ,学習
97174 ,morpheme,59#00:06:51#0 ,学習
97175 ,morpheme,59#00:06:53#0 ,学習
97176 ,morpheme,59#00:06:55#0 ,学習
97177 ,morpheme,59#00:06:57#0 ,学習
97178 ,morpheme,59#00:06:59#0 ,学習
97179 ,morpheme,59#00:07:01#0 ,学習
97180 ,morpheme,59#00:07:03#0 ,学習
97181 ,morpheme,59#00:07:05#0 ,学習
97182 ,morpheme,59#00:07:07#0 ,学習
97183 ,morpheme,59#00:07:09#0 ,学習
97184 ,morpheme,59#00:07:11#0 ,学習
97185 ,morpheme,59#00:07:13#0 ,学習
97186 ,morpheme,59#00:07:15#0 ,学習
97187 ,morpheme,59#00:07:17#0 ,学習
97188 ,morpheme,59#00:07:19#0 ,学習
97189 ,morpheme,59#00:07:21#0 ,学習
97190 ,morpheme,59#00:07:23#0 ,学習
97191 ,morpheme,59#00:07:25#0 ,学習
97192 ,morpheme,59#00:07:27#0 ,学習
97193 ,morpheme,59#00:07:29#0 ,学習
97194 ,morpheme,59#00:07:31#0 ,学習
97195 ,morpheme,59#00:07:33#0 ,学習
97196 ,morpheme,59#00:07:35#0 ,学習
97197 ,morpheme,59#00:07:37#0 ,学習
97198 ,morpheme,59#00:07:39#0 ,学習
97199 ,morpheme,59#00:07:41#0 ,学習
97200 ,morpheme,59#00:07:43#0 ,学習
97201 ,morpheme,59#00:07:45#0 ,学習
97202 ,morpheme,59#00:07:47#0 ,学習
97203 ,morpheme,59#00:07:49#0 ,学習
97204 ,morpheme,59#00:07:51#0 ,学習
97205 ,morpheme,59#00:07:53#0 ,学習
97206 ,morpheme,59#00:07:55#0 ,学習
97207 ,morpheme,59#00:07:57#0 ,学習
97208 ,morpheme,59#00:07:59#0 ,学習
97209 ,morpheme,59#00:08:01#0 ,学習
97210 ,morpheme,59#00:08:03#0 ,学習
97211 ,morpheme,59#00:08:05#0 ,学習
97212 ,morpheme,59#00:08:07#0 ,学習
97213 ,morpheme,59#00:08:09#0 ,学習
97214 ,morpheme,59#00:08:11#0 ,学習
97215 ,morpheme,59#00:08:13#0 ,学習
97216 ,morpheme,59#00:08:15#0 ,学習
97217 ,morpheme,59#00:08:17#0 ,学習
97218 ,morpheme,59#00:08:19#0 ,学習
97219 ,morpheme,59#00:08:21#0 ,学習
97220 ,morpheme,59#00:08:23#0 ,学習
97221 ,morpheme,59#00:08:25#0 ,学習
97222 ,morpheme,59#00:08:27#0 ,学習
97223 ,morpheme,59#00:08:29#0 ,学習
97224 ,morpheme,59#00:08:31#0 ,学習
97225 ,morpheme,59#00:08:33#0 ,学習
97226 ,morpheme,59#00:08:35#0 ,学習
97227 ,morpheme,59#00:08:37#0 ,学習
97228 ,morpheme,59#00:08:39#0 ,学習
97229 ,morpheme,59#00:08:41#0 ,学習
97230 ,morpheme,59#00:08:43#0 ,学習
97231 ,morpheme,59#00:08:45#0 ,学習
97232 ,morpheme,59#00:08:47#0 ,学習
97233 ,morpheme,59#00:08:49#0 ,学習
97234 ,morpheme,59#00:08:51#0 ,学習
97235 ,morpheme,59#00:08:53#0 ,学習
97236 ,morpheme,59#00:08:55#0 ,学習
97237 ,morpheme,59#00:08:57#0 ,学習
97238 ,morpheme,59#00:08:59#0 ,学習
97239 ,morpheme,59#00:09:01#0 ,学習
97240 ,morpheme,59#00:09:03#0 ,学習
97241 ,morpheme,59#00:09:05#0 ,学習
97242 ,morpheme,59#00:09:07#0 ,学習
97243 ,morpheme,59#00:09:09#0 ,学習
97244 ,morpheme,59#00:09:11#0 ,学習
97245 ,morpheme,59#00:09:13#0 ,学習
97246 ,morpheme,59#00:09:15#0 ,学習
97247 ,morpheme,59#00:09:17#0 ,学習
97248 ,morpheme,59#00:09:19#0 ,学習
97249 ,morpheme,59#00:09:21#0 ,学習
97250 ,morpheme,59#00:09:23#0 ,学習
97251 ,morpheme,59#00:09:25#0 ,学習
97252 ,morpheme,59#00:09:27#0 ,学習
97253 ,morpheme,59#00:09:29#0 ,学習
97254 ,morpheme,59#00:09:31#0 ,学習
97255 ,morpheme,59#00:09:33#0 ,学習
97256 ,morpheme,59#00:09:35#0 ,学習
97257 ,morpheme,59#00:09:37#0 ,学習
97258 ,morpheme,59#00:09:39#0 ,学習
97259 ,morpheme,59#00:09:41#0 ,学習
97260 ,morpheme,59#00:09:43#0 ,学習
97261 ,morpheme,59#00:09:45#0 ,学習
97262 ,morpheme,59#00:09:47#0 ,学習
97263 ,morpheme,59#00:09:49#0 ,学習
97264 ,morpheme,59#00:09:51#0 ,学習
97265 ,morpheme,59#00:09:53#0 ,学習
97266 ,morpheme,59#00:09:55#0 ,学習
97267 ,morpheme,59#00:09:57#0 ,学習
97268 ,morpheme,59#00:09:59#0 ,学習
97269 ,morpheme,59#00:10:01#0 ,学習
97270 ,morpheme,59#00:10:03#0 ,学習
97271 ,morpheme,59#00:10:05#0 ,学習
97272 ,morpheme,59#00:10:07#0 ,学習
97273 ,morpheme,59#00:10:09#0 ,学習
97274 ,morpheme,59#00:10:11#0 ,学習
97275 ,morpheme,59#00:10:13#0 ,学習
97276 ,morpheme,59#00:10:15#0 ,学習
97277 ,morpheme,59#00:10:17#0 ,学習
97278 ,morpheme,59#00:10:19#0 ,学習
97279 ,morpheme,59#00:10:21#0 ,学習
97280 ,morpheme,59#00:10:23#0 ,学習
97281 ,morpheme,59#00:10:25#0 ,学習
97282 ,morpheme,59#00:10:27#0 ,学習
97283 ,morpheme,59#00:10:29#0 ,学習
97284 ,morpheme,59#00:10:31#0 ,学習
97285 ,morpheme,59#00:10:33#0 ,学習
97286 ,morpheme,59#00:10:35#0 ,学習
97287 ,morpheme,59#00:10:37#0 ,学習
97288 ,morpheme,59#00:10:39#0 ,学習
97289 ,morpheme,59#00:10:41#0 ,学習
97290 ,morpheme,59#00:10:43#0 ,学習
97291 ,morpheme,59#00:10:45#0 ,学習
97292 ,morpheme,59#00:10:47#0 ,学習
97293 ,morpheme,59#00:10:49#0 ,学習
97294 ,morpheme,59#00:10:51#0 ,学習
97295 ,morpheme,59#00:10:53#0 ,学習
97296 ,morpheme,59#00:10:55#0 ,学習
97297 ,morpheme,59#00:10:57#0 ,学習
97298 ,morpheme,59#00:10:59#0 ,学習
97299 ,morpheme,59#00:11:01#0 ,学習
97300 ,morpheme,59#00:11:03#0 ,学習
97301 ,morpheme,59#00:11:05#0 ,学習
97302 ,morpheme,59#00:11:07#0 ,学習
97303 ,morpheme,59#00:11:09#0 ,学習
97304 ,morpheme,59#00:11:11#0 ,学習
97305 ,morpheme,59#00:11:13#0 ,学習
97306 ,morpheme,59#00:11:15#0 ,学習
97307 ,morpheme,59#00:11:17#0 ,学習
97308 ,morpheme,59#00:11:19#0 ,学習
97309 ,morpheme,59#00:11:21#0 ,学習
97310 ,morpheme,59#00:11:23#0 ,学習
97311 ,morpheme,59#00:11:25#0 ,学習
97312 ,morpheme,59#00:11:27#0 ,学習
97313 ,morpheme,59#00:11:29#0 ,学習
97314 ,morpheme,59#00:11:31#0 ,学習
97315 ,morpheme,59#00:11:33#0 ,学習
97316 ,morpheme,59#00:11:35#0 ,学習
97317 ,morpheme,59#00:11:37#0 ,学習
97318 ,morpheme,59#00:11:39#0 ,学習
97319 ,morpheme,59#00:11:41#0 ,学習
97320 ,morpheme,59#00:11:43#0 ,学習
97321 ,morpheme,59#00:11:45#0 ,学習
97322 ,morpheme,59#00:11:47#0 ,学習
97323 ,morpheme,59#00:11:49#0 ,学習
97324 ,morpheme,59#00:11:51#0 ,学習
97325 ,morpheme,59#00:11:53#0 ,学習
97326 ,morpheme,59#00:11:55#0 ,学習
97327 ,morpheme,59#00:11:57#0 ,学習
97328 ,morpheme,59#00:11:59#0 ,学習
97329 ,morpheme,59#00:12:01#0 ,学習
97330 ,morpheme,59#00:12:03#0 ,学習
97331 ,morpheme,59#00:12:05#0 ,学習
97332 ,morpheme,59#00:12:07#0 ,学習
97333 ,morpheme,59#00:12:09#0 ,学習
97334 ,morpheme,59#00:12:11#0 ,学習
97335 ,morpheme,59#00:12:13#0 ,学習
97336 ,morpheme,59#00:12:15#0 ,学習
97337 ,morpheme,59#00:12:17#0 ,学習
97338 ,morpheme,59#00:12:19#0 ,学習
97339 ,morpheme,59#00:12:21#0 ,学習
97340 ,morpheme,59#00:12:23#0 ,学習
97341 ,morpheme,59#00:12:25#0 ,学習
97342 ,morpheme,59#00:12:27#0 ,学習
97343 ,morpheme,59#00:12:29#0 ,学習
97344 ,morpheme,59#00:12:31#0 ,学習
97345 ,morpheme,59#00:12:33#0 ,学習
97346 ,morpheme,59#00:12:35#0 ,学習
97347 ,morpheme,59#00:12:37#0 ,学習
97348 ,morpheme,59#00:12:39#0 ,学習
97349 ,morpheme,59#00:12:41#0 ,学習
97350 ,morpheme,59#00:12:43#0 ,学習
97351 ,morpheme,59#00:12:45#0 ,学習
97352 ,morpheme,59#00:12:47#0 ,学習
97353 ,morpheme,59#00:12:49#0 ,学習
97354 ,morpheme,59#00:12:51#0 ,学習
97355 ,morpheme,59#00:12:53#0 ,学習
97356 ,morpheme,59#00:12:55#0 ,学習
97357 ,morpheme,59#00:12:57#0 ,学習
97358 ,morpheme,59#00:12:59#0 ,学習
97359 ,morpheme,59#00:13:01#0 ,学習
97360 ,morpheme,59#00:13:03#0 ,学習
97361 ,morpheme,59#00:13:05#0 ,学習
97362 ,morpheme,59#00:13:07#0 ,学習
97363 ,morpheme,59#00:13:09#0 ,学習
97364 ,morpheme,59#00:13:11#0 ,学習
97365 ,morpheme,59#00:13:13#0 ,学習
97366 ,morpheme,59#00:13:15#0 ,学習
97367 ,morpheme,59#00:13:17#0 ,学習
97368 ,morpheme,59#00:13:19#0 ,学習
97369 ,morpheme,59#00:13:21#0 ,学習
97370 ,morpheme,59#00:13:23#0 ,学習
97371 ,morpheme,59#00:13:25#0 ,学習
97372 ,morpheme,59#00:13:27#0 ,学習
97373 ,morpheme,59#00:13:29#0 ,学習
97374 ,morpheme,59#00:13:31#0 ,学習
97375 ,morpheme,59#00:13:33#0 ,学習
97376 ,morpheme,59#00:13:35#0 ,学習
97377 ,morpheme,59#00:13:37#0 ,学習
97378 ,morpheme,59#00:13:39#0 ,学習
97379 ,morpheme,59#00:13:41#0 ,学習
97380 ,morpheme,59#00:13:43#0 ,学習
97381 ,morpheme,59#00:13:45#0 ,学習
97382 ,morpheme,59#00:13:47#0 ,学習
97383 ,morpheme,59#00:13:49#0 ,学習
97384 ,morpheme,59#00:13:51#0 ,学習
97385 ,morpheme,59#00:13:53#0 ,学習
97386 ,morpheme,59#00:13:55#0 ,学習
97387 ,morpheme,59#00:13:57#0 ,学習
97388 ,morpheme,59#00:13:59#0 ,学習
97389 ,morpheme,59#00:14:01#0 ,学習
97390 ,morpheme,59#00:14:03#0 ,学習
97391 ,morpheme,59#00:14:05#0 ,学習
97392 ,morpheme,59#00:14:07#0 ,学習
97393 ,morpheme,59#00:14:09#0 ,学習
97394 ,morpheme,59#00:14:11#0 ,学習
97395 ,morpheme,59#00:14:13#0 ,学習
97396 ,morpheme,59#00:14:15#0 ,学習
97397 ,morpheme,59#00:14:17#0 ,学習
97398 ,morpheme,59#00:14:19#0 ,学習
97399 ,morpheme,59#00:14:21#0 ,学習
97400 ,morpheme,59#00:14:23#0 ,学習
97401 ,morpheme,59#00:14:25#0 ,学習
97402 ,morpheme,59#00:14:27#0 ,学習
97403 ,morpheme,59#00:14:29#0 ,学習
97404 ,morpheme,59#00:14:31#0 ,学習
97405 ,morpheme,59#00:14:33#0 ,学習
97406 ,morpheme,59#00:14:35#0 ,学習
97407 ,morpheme,59#00:14:37#0 ,学習
97408 ,morpheme,59#00:14:39#0 ,学習
97409 ,morpheme,59#00:14:41#0 ,学習
97410 ,morpheme,59#00:14:43#0 ,学習
97411 ,morpheme,59#00:14:45#0 ,学習
97412 ,morpheme,59#00:14:47#0 ,学習
97413 ,morpheme,59#00:14:49#0 ,学習
97414 ,morpheme,59#00:14:51#0 ,学習
97415 ,morpheme,59#00:14:53#0 ,学習
97416 ,morpheme,59#00:14:55#0 ,学習
97417 ,morpheme,59#00:14:57#0 ,学習
97418 ,morpheme,59#00:14:59#0 ,学習
97419 ,morpheme,59#00:15:01#0 ,学習
97420 ,morpheme,59#00:15:03#0 ,学習
97421 ,morpheme,59#00:15:05#0 ,学習
97422 ,morpheme,59#00:15:07#0 ,学習
97423 ,morpheme,59#00:15:09#0 ,学習
97424 ,morpheme,59#00:15:11#0 ,学習
97425 ,morpheme,59#00:15:13#0 ,学習
97426 ,morpheme,59#00:15:15#0 ,学習
97427 ,morpheme,59#00:15:17#0 ,学習
97428 ,morpheme,59#00:15:19#0 ,学習
97429 ,morpheme,59#00:15:21#0 ,学習
97430 ,morpheme,59#00:15:23#0 ,学習
97431 ,morpheme,59#00:15:25#0 ,学習
97432 ,morpheme,59#00:15:27#0 ,学習
97433 ,morpheme,59#00:15:29#0 ,学習
97434 ,morpheme,59#00:15:31#0 ,学習
